FirstName,LastName,Username,Department,Title,Site,OU,Groups
Jasmine,Perry,j.perry,Clinical - Medical Assistants,CMA,EastSide,"OU=Medical Assistants,OU=Clinical,OU=Users,OU=_MedPoint,DC=medpoint,DC=local","SG-Clinical-AllStaff;SG-EHR-Users;SG-PHI-Access;SG-Printers-EastSide"
Derek,Simmons,d.simmons,Clinical - Medical Assistants,RMA,Downtown,"OU=Medical Assistants,OU=Clinical,OU=Users,OU=_MedPoint,DC=medpoint,DC=local","SG-Clinical-AllStaff;SG-EHR-Users;SG-PHI-Access;SG-Printers-Downtown"
Alicia,Torres,a.torres,Clinical - Medical Assistants,CMA,WestSide,"OU=Medical Assistants,OU=Clinical,OU=Users,OU=_MedPoint,DC=medpoint,DC=local","SG-Clinical-AllStaff;SG-EHR-Users;SG-PHI-Access;SG-Printers-WestSide"
Corey,Dunn,c.dunn,Clinical - Medical Assistants,CMA,EastSide,"OU=Medical Assistants,OU=Clinical,OU=Users,OU=_MedPoint,DC=medpoint,DC=local","SG-Clinical-AllStaff;SG-EHR-Users;SG-PHI-Access;SG-Printers-EastSide"
Vanessa,Quinn,v.quinn,Clinical - Medical Assistants,CMA,Downtown,"OU=Medical Assistants,OU=Clinical,OU=Users,OU=_MedPoint,DC=medpoint,DC=local","SG-Clinical-AllStaff;SG-EHR-Users;SG-PHI-Access;SG-Printers-Downtown"
Wesley,Graham,w.graham,Clinical - Medical Assistants,RMA,WestSide,"OU=Medical Assistants,OU=Clinical,OU=Users,OU=_MedPoint,DC=medpoint,DC=local","SG-Clinical-AllStaff;SG-EHR-Users;SG-PHI-Access;SG-Printers-WestSide"
Monique,Saunders,m.saunders,Clinical - Medical Assistants,CMA,Downtown,"OU=Medical Assistants,OU=Clinical,OU=Users,OU=_MedPoint,DC=medpoint,DC=local","SG-Clinical-AllStaff;SG-EHR-Users;SG-PHI-Access;SG-Printers-Downtown"
Jordan,Hale,j.hale,Clinical - Medical Assistants,CMA,EastSide,"OU=Medical Assistants,OU=Clinical,OU=Users,OU=_MedPoint,DC=medpoint,DC=local","SG-Clinical-AllStaff;SG-EHR-Users;SG-PHI-Access;SG-Printers-EastSide"
Christina,Webb,c.webb,Clinical - Medical Assistants,CMA,Downtown,"OU=Medical Assistants,OU=Clinical,OU=Users,OU=_MedPoint,DC=medpoint,DC=local","SG-Clinical-AllStaff;SG-EHR-Users;SG-PHI-Access;SG-Printers-Downtown"
Dominic,Flores,d.flores,Clinical - Medical Assistants,RMA,WestSide,"OU=Medical Assistants,OU=Clinical,OU=Users,OU=_MedPoint,DC=medpoint,DC=local","SG-Clinical-AllStaff;SG-EHR-Users;SG-PHI-Access;SG-Printers-WestSide"
Kendra,Lawson,k.lawson,Clinical - Medical Assistants,CMA,EastSide,"OU=Medical Assistants,OU=Clinical,OU=Users,OU=_MedPoint,DC=medpoint,DC=local","SG-Clinical-AllStaff;SG-EHR-Users;SG-PHI-Access;SG-Printers-EastSide"
Travis,Wolfe,t.wolfe,Clinical - Medical Assistants,RMA,Downtown,"OU=Medical Assistants,OU=Clinical,OU=Users,OU=_MedPoint,DC=medpoint,DC=local","SG-Clinical-AllStaff;SG-EHR-Users;SG-PHI-Access;SG-Printers-Downtown"
Claudia,Rios,c.rios,Clinical - Medical Assistants,CMA,WestSide,"OU=Medical Assistants,OU=Clinical,OU=Users,OU=_MedPoint,DC=medpoint,DC=local","SG-Clinical-AllStaff;SG-EHR-Users;SG-PHI-Access;SG-Printers-WestSide"
Robert,Williams,r.williams,Clinical - Lab and Diagnostics,Lab Technician,WestSide,"OU=Lab & Diagnostics,OU=Clinical,OU=Users,OU=_MedPoint,DC=medpoint,DC=local","SG-Clinical-AllStaff;SG-EHR-Users;SG-PHI-Access;SG-Printers-WestSide"
Ingrid,Johansson,i.johansson,Clinical - Lab and Diagnostics,Lab Technician,WestSide,"OU=Lab & Diagnostics,OU=Clinical,OU=Users,OU=_MedPoint,DC=medpoint,DC=local","SG-Clinical-AllStaff;SG-EHR-Users;SG-PHI-Access;SG-Printers-WestSide"
Tyrone,Marshall,t.marshall,Clinical - Lab and Diagnostics,Phlebotomist,Downtown,"OU=Lab & Diagnostics,OU=Clinical,OU=Users,OU=_MedPoint,DC=medpoint,DC=local","SG-Clinical-AllStaff;SG-EHR-Users;SG-PHI-Access;SG-Printers-Downtown"
Fiona,Barrett,f.barrett,Clinical - Lab and Diagnostics,Imaging Technologist,EastSide,"OU=Lab & Diagnostics,OU=Clinical,OU=Users,OU=_MedPoint,DC=medpoint,DC=local","SG-Clinical-AllStaff;SG-EHR-Users;SG-PHI-Access;SG-Printers-EastSide"
Andre,Campbell,a.campbell,Clinical - Lab and Diagnostics,Lab Technician,WestSide,"OU=Lab & Diagnostics,OU=Clinical,OU=Users,OU=_MedPoint,DC=medpoint,DC=local","SG-Clinical-AllStaff;SG-EHR-Users;SG-PHI-Access;SG-Printers-WestSide"
Sonia,Malik,s.malik,Clinical - Lab and Diagnostics,Phlebotomist,Downtown,"OU=Lab & Diagnostics,OU=Clinical,OU=Users,OU=_MedPoint,DC=medpoint,DC=local","SG-Clinical-AllStaff;SG-EHR-Users;SG-PHI-Access;SG-Printers-Downtown"
Ryan,Dixon,r.dixon,Clinical - Lab and Diagnostics,Imaging Technologist,EastSide,"OU=Lab & Diagnostics,OU=Clinical,OU=Users,OU=_MedPoint,DC=medpoint,DC=local","SG-Clinical-AllStaff;SG-EHR-Users;SG-PHI-Access;SG-Printers-EastSide"
Leah,Cunningham,l.cunningham,Clinical - Lab and Diagnostics,Lab Supervisor,WestSide,"OU=Lab & Diagnostics,OU=Clinical,OU=Users,OU=_MedPoint,DC=medpoint,DC=local","SG-Clinical-AllStaff;SG-EHR-Users;SG-EHR-Admins;SG-PHI-Access;SG-Printers-WestSide"
Khalid,Abbas,k.abbas,Clinical - Lab and Diagnostics,Phlebotomist,WestSide,"OU=Lab & Diagnostics,OU=Clinical,OU=Users,OU=_MedPoint,DC=medpoint,DC=local","SG-Clinical-AllStaff;SG-EHR-Users;SG-PHI-Access;SG-Printers-WestSide"
Natasha,Volkov,n.volkov,Clinical - Lab and Diagnostics,Imaging Technologist,EastSide,"OU=Lab & Diagnostics,OU=Clinical,OU=Users,OU=_MedPoint,DC=medpoint,DC=local","SG-Clinical-AllStaff;SG-EHR-Users;SG-PHI-Access;SG-Printers-EastSide"
Emily,Carter,e.carter,Clinical - Pharmacy,PharmD,Downtown,"OU=Pharmacy,OU=Clinical,OU=Users,OU=_MedPoint,DC=medpoint,DC=local","SG-Clinical-AllStaff;SG-EHR-Users;SG-PHI-Access;SG-Printers-Downtown"
Brian,Kessler,b.kessler,Clinical - Pharmacy,PharmD,WestSide,"OU=Pharmacy,OU=Clinical,OU=Users,OU=_MedPoint,DC=medpoint,DC=local","SG-Clinical-AllStaff;SG-EHR-Users;SG-PHI-Access;SG-Printers-WestSide"
Adriana,Lozano,a.lozano,Clinical - Pharmacy,Pharmacy Technician,Downtown,"OU=Pharmacy,OU=Clinical,OU=Users,OU=_MedPoint,DC=medpoint,DC=local","SG-Clinical-AllStaff;SG-EHR-Users;SG-PHI-Access;SG-Printers-Downtown"
Craig,Patterson,c.patterson,Clinical - Pharmacy,Pharmacy Technician,WestSide,"OU=Pharmacy,OU=Clinical,OU=Users,OU=_MedPoint,DC=medpoint,DC=local","SG-Clinical-AllStaff;SG-EHR-Users;SG-PHI-Access;SG-Printers-WestSide"
Sandra,Cho,s.cho,Clinical - Pharmacy,Pharmacy Technician,Downtown,"OU=Pharmacy,OU=Clinical,OU=Users,OU=_MedPoint,DC=medpoint,DC=local","SG-Clinical-AllStaff;SG-EHR-Users;SG-PHI-Access;SG-Printers-Downtown"
Darren,Maxwell,d.maxwell,Clinical - Pharmacy,PharmD,EastSide,"OU=Pharmacy,OU=Clinical,OU=Users,OU=_MedPoint,DC=medpoint,DC=local","SG-Clinical-AllStaff;SG-EHR-Users;SG-PHI-Access;SG-Printers-EastSide"
Lisa,Thompson,l.thompson,Front Desk,Receptionist,Downtown,"OU=Front Desk,OU=Administrative,OU=Users,OU=_MedPoint,DC=medpoint,DC=local","SG-Printers-Downtown"
Christina,Lane,c.lane,Front Desk,Receptionist,Downtown,"OU=Front Desk,OU=Administrative,OU=Users,OU=_MedPoint,DC=medpoint,DC=local","SG-Printers-Downtown"
Marcus,Bell,m.bell,Front Desk,Scheduler,Downtown,"OU=Front Desk,OU=Administrative,OU=Users,OU=_MedPoint,DC=medpoint,DC=local","SG-Printers-Downtown"
Tamara,Hughes,t.hughes,Front Desk,Receptionist,WestSide,"OU=Front Desk,OU=Administrative,OU=Users,OU=_MedPoint,DC=medpoint,DC=local","SG-Printers-WestSide"
Dennis,Park,d.park,Front Desk,Scheduler,WestSide,"OU=Front Desk,OU=Administrative,OU=Users,OU=_MedPoint,DC=medpoint,DC=local","SG-Printers-WestSide"
Renee,Fischer,r.fischer,Front Desk,Receptionist,WestSide,"OU=Front Desk,OU=Administrative,OU=Users,OU=_MedPoint,DC=medpoint,DC=local","SG-Printers-WestSide"
Angela,Stone,a.stone,Front Desk,Receptionist,EastSide,"OU=Front Desk,OU=Administrative,OU=Users,OU=_MedPoint,DC=medpoint,DC=local","SG-Printers-EastSide"
Tyler,Marsh,t.marsh,Front Desk,Scheduler,EastSide,"OU=Front Desk,OU=Administrative,OU=Users,OU=_MedPoint,DC=medpoint,DC=local","SG-Printers-EastSide"
Gloria,Vega,g.vega,Front Desk,Referral Coordinator,Downtown,"OU=Front Desk,OU=Administrative,OU=Users,OU=_MedPoint,DC=medpoint,DC=local","SG-Printers-Downtown;SG-PHI-Access"
Phillip,Norris,p.norris,Front Desk,Referral Coordinator,WestSide,"OU=Front Desk,OU=Administrative,OU=Users,OU=_MedPoint,DC=medpoint,DC=local","SG-Printers-WestSide;SG-PHI-Access"
Erica,Hammond,e.hammond,Front Desk,Receptionist,Downtown,"OU=Front Desk,OU=Administrative,OU=Users,OU=_MedPoint,DC=medpoint,DC=local","SG-Printers-Downtown"
Shaun,Carroll,s.carroll,Front Desk,Receptionist,EastSide,"OU=Front Desk,OU=Administrative,OU=Users,OU=_MedPoint,DC=medpoint,DC=local","SG-Printers-EastSide"
Heather,Boyd,h.boyd,Front Desk,Scheduler,Downtown,"OU=Front Desk,OU=Administrative,OU=Users,OU=_MedPoint,DC=medpoint,DC=local","SG-Printers-Downtown"
Kathleen,Frazier,k.frazier,Front Desk,Receptionist,WestSide,"OU=Front Desk,OU=Administrative,OU=Users,OU=_MedPoint,DC=medpoint,DC=local","SG-Printers-WestSide"
Daryl,Sutherland,d.sutherland,Front Desk,Receptionist,EastSide,"OU=Front Desk,OU=Administrative,OU=Users,OU=_MedPoint,DC=medpoint,DC=local","SG-Printers-EastSide"
Mark,Anderson,m.anderson,Billing and Coding,CPC Lead Coder,Downtown,"OU=Billing & Coding,OU=Administrative,OU=Users,OU=_MedPoint,DC=medpoint,DC=local","SG-Billing-Access;SG-PHI-Access;SG-Printers-Downtown"
Veronica,Estrada,v.estrada,Billing and Coding,Medical Coder,Downtown,"OU=Billing & Coding,OU=Administrative,OU=Users,OU=_MedPoint,DC=medpoint,DC=local","SG-Billing-Access;SG-PHI-Access;SG-Printers-Downtown"
Grant,Pearson,g.pearson,Billing and Coding,Medical Coder,Downtown,"OU=Billing & Coding,OU=Administrative,OU=Users,OU=_MedPoint,DC=medpoint,DC=local","SG-Billing-Access;SG-PHI-Access;SG-Printers-Downtown"
Sharon,Watts,s.watts,Billing and Coding,Medical Biller,Downtown,"OU=Billing & Coding,OU=Administrative,OU=Users,OU=_MedPoint,DC=medpoint,DC=local","SG-Billing-Access;SG-PHI-Access;SG-Printers-Downtown"
Ray,Goodman,r.goodman,Billing and Coding,Medical Biller,Downtown,"OU=Billing & Coding,OU=Administrative,OU=Users,OU=_MedPoint,DC=medpoint,DC=local","SG-Billing-Access;SG-PHI-Access;SG-Printers-Downtown"
Irene,Salazar,i.salazar,Billing and Coding,AR Specialist,Downtown,"OU=Billing & Coding,OU=Administrative,OU=Users,OU=_MedPoint,DC=medpoint,DC=local","SG-Billing-Access;SG-PHI-Access;SG-Printers-Downtown"
Curtis,Rhodes,c.rhodes,Billing and Coding,Medical Coder,Downtown,"OU=Billing & Coding,OU=Administrative,OU=Users,OU=_MedPoint,DC=medpoint,DC=local","SG-Billing-Access;SG-PHI-Access;SG-Printers-Downtown"
Pamela,Jacobs,p.jacobs,Billing and Coding,AR Specialist,Downtown,"OU=Billing & Coding,OU=Administrative,OU=Users,OU=_MedPoint,DC=medpoint,DC=local","SG-Billing-Access;SG-PHI-Access;SG-Printers-Downtown"
Nelson,Craig,n.craig,Billing and Coding,Medical Biller,Downtown,"OU=Billing & Coding,OU=Administrative,OU=Users,OU=_MedPoint,DC=medpoint,DC=local","SG-Billing-Access;SG-PHI-Access;SG-Printers-Downtown"
Diana,Chavez,d.chavez,Billing and Coding,Coding Supervisor,Downtown,"OU=Billing & Coding,OU=Administrative,OU=Users,OU=_MedPoint,DC=medpoint,DC=local","SG-Billing-Access;SG-PHI-Access;SG-Printers-Downtown"
Jennifer,Davis,j.davis,HR,HR Manager,Downtown,"OU=HR,OU=Administrative,OU=Users,OU=_MedPoint,DC=medpoint,DC=local","SG-HR-Confidential;SG-Printers-Downtown"
Andre,Gibson,a.gibson,HR,Recruiter,Downtown,"OU=HR,OU=Administrative,OU=Users,OU=_MedPoint,DC=medpoint,DC=local","SG-HR-Confidential;SG-Printers-Downtown"
Melissa,Sutton,m.sutton,HR,Benefits Coordinator,Downtown,"OU=HR,OU=Administrative,OU=Users,OU=_MedPoint,DC=medpoint,DC=local","SG-HR-Confidential;SG-Printers-Downtown"
Jared,Fleming,j.fleming,HR,Recruiter,Downtown,"OU=HR,OU=Administrative,OU=Users,OU=_MedPoint,DC=medpoint,DC=local","SG-HR-Confidential;SG-Printers-Downtown"
Michael,Brown,m.brown,Finance,Controller,Downtown,"OU=Finance,OU=Administrative,OU=Users,OU=_MedPoint,DC=medpoint,DC=local","SG-Billing-Access;SG-Printers-Downtown"
Lorraine,Keller,l.keller,Finance,AP Specialist,Downtown,"OU=Finance,OU=Administrative,OU=Users,OU=_MedPoint,DC=medpoint,DC=local","SG-Billing-Access;SG-Printers-Downtown"
Russell,Sharp,r.sharp,Finance,AR Specialist,Downtown,"OU=Finance,OU=Administrative,OU=Users,OU=_MedPoint,DC=medpoint,DC=local","SG-Billing-Access;SG-Printers-Downtown"
Yvonne,Becker,y.becker,Finance,Payroll Specialist,Downtown,"OU=Finance,OU=Administrative,OU=Users,OU=_MedPoint,DC=medpoint,DC=local","SG-Billing-Access;SG-HR-Confidential;SG-Printers-Downtown"
Franklin,Doyle,f.doyle,Finance,Staff Accountant,Downtown,"OU=Finance,OU=Administrative,OU=Users,OU=_MedPoint,DC=medpoint,DC=local","SG-Billing-Access;SG-Printers-Downtown"
Kevin,Mitchell,k.mitchell,IT,Systems Administrator,Downtown,"OU=IT,OU=Users,OU=_MedPoint,DC=medpoint,DC=local","SG-IT-Admins;SG-Workstation-LocalAdmin;SG-VPN-Users;SG-Printers-Downtown"
Tanya,Reeves,t.reeves,IT,Helpdesk Technician,Downtown,"OU=IT,OU=Users,OU=_MedPoint,DC=medpoint,DC=local","SG-IT-Admins;SG-Workstation-LocalAdmin;SG-Printers-Downtown"
Elliot,Wise,e.wise,IT,Helpdesk Technician,WestSide,"OU=IT,OU=Users,OU=_MedPoint,DC=medpoint,DC=local","SG-IT-Admins;SG-Workstation-LocalAdmin;SG-Printers-WestSide"
